 1581  #UTIL: 1172
 1581 6  #UTIL: 325
 1581 1513  #UTIL: 1460
 6  #UTIL: 616
 6 123  #UTIL: 767
 6 103  #UTIL: 570
 6 103 1227  #UTIL: 1231
 6 1227  #UTIL: 672
 6 1629 1496  #UTIL: 177
 6 1629 1496 1732  #UTIL: 255
 6 1629 1732  #UTIL: 99
 6 78  #UTIL: 98
 6 469  #UTIL: 559
 6 1626  #UTIL: 335
 6 1626 296  #UTIL: 716
 6 296  #UTIL: 423
 6 1496  #UTIL: 167
 6 1496 1732  #UTIL: 245
 6 1732  #UTIL: 89
 9  #UTIL: 1732
 9 103  #UTIL: 526
 9 103 18  #UTIL: 704
 9 103 18 987  #UTIL: 838
 9 103 987  #UTIL: 660
 9 618  #UTIL: 459
 9 1810  #UTIL: 76
 9 1415  #UTIL: 1163
 9 1469  #UTIL: 736
 9 18  #UTIL: 207
 9 18 987  #UTIL: 341
 9 987  #UTIL: 163
 9 553  #UTIL: 3633
 9 553 1322  #UTIL: 3651
 9 1322  #UTIL: 253
 123  #UTIL: 756
 2355  #UTIL: 851
 2355 1209  #UTIL: 2277
 2355 1209 2  #UTIL: 2334
 2355 2  #UTIL: 908
 1209  #UTIL: 2852
 1209 2  #UTIL: 1483
 2  #UTIL: 491
 2 2006  #UTIL: 159
 2 418  #UTIL: 316
 2 580  #UTIL: 258
 2 978  #UTIL: 207
 2 978 431  #UTIL: 388
 2 978 431 482  #UTIL: 775
 2 978 431 482 1614  #UTIL: 949
 2 978 431 1614  #UTIL: 562
 2 978 482  #UTIL: 594
 2 978 482 1614  #UTIL: 768
 2 978 1614  #UTIL: 381
 2 431  #UTIL: 194
 2 431 482  #UTIL: 581
 2 431 482 1614  #UTIL: 755
 2 431 1614  #UTIL: 368
 2 482  #UTIL: 400
 2 482 1614  #UTIL: 574
 2 1614  #UTIL: 187
 2 208  #UTIL: 1663
 2 1567  #UTIL: 273
 2 1567 1715  #UTIL: 311
 2 1567 1715 189  #UTIL: 380
 2 1567 189  #UTIL: 342
 2 1715  #UTIL: 51
 2 1715 189  #UTIL: 120
 2 189  #UTIL: 82
 34  #UTIL: 4700
 34 1599  #UTIL: 203
 34 56  #UTIL: 923
 34 103  #UTIL: 203
 34 1780  #UTIL: 298
 34 105  #UTIL: 593
 34 637  #UTIL: 890
 34 637 657  #UTIL: 1212
 34 637 657 25  #UTIL: 1644
 34 637 657 25 1753  #UTIL: 1884
 34 637 657 1753  #UTIL: 1452
 34 637 25  #UTIL: 1322
 34 637 25 1753  #UTIL: 1562
 34 637 1753  #UTIL: 1130
 34 657  #UTIL: 651
 34 657 25  #UTIL: 1083
 34 657 25 1753  #UTIL: 1323
 34 657 1753  #UTIL: 891
 34 25  #UTIL: 761
 34 25 1753  #UTIL: 1001
 34 1753  #UTIL: 569
 34 1678  #UTIL: 92
 34 1594  #UTIL: 62
 34 2492  #UTIL: 284
 34 2492 1767  #UTIL: 413
 34 1767  #UTIL: 364
 34 1449  #UTIL: 1139
 34 1584  #UTIL: 52
 1599  #UTIL: 187
 1599 32  #UTIL: 543
 1599 32 2006  #UTIL: 683
 1599 2006  #UTIL: 171
 32  #UTIL: 512
 32 2006  #UTIL: 652
 2006  #UTIL: 140
 4  #UTIL: 786
 4 171  #UTIL: 128
 4 171 1590  #UTIL: 159
 4 1590  #UTIL: 166
 4 1590 1973  #UTIL: 526
 4 443  #UTIL: 765
 4 443 38  #UTIL: 965
 4 443 38 143  #UTIL: 1700
 4 443 143  #UTIL: 1500
 4 38  #UTIL: 211
 4 38 143  #UTIL: 946
 4 143  #UTIL: 746
 4 1973  #UTIL: 465
 4 1630  #UTIL: 72
 4 418  #UTIL: 153
 4 1687  #UTIL: 51
 4 1687 342  #UTIL: 1345
 4 2499  #UTIL: 92
 4 2499 369  #UTIL: 1225
 4 369  #UTIL: 1144
 4 531  #UTIL: 496
 4 1360  #UTIL: 210
 4 342  #UTIL: 1326
 37  #UTIL: 11003
 37 535  #UTIL: 297
 37 1586  #UTIL: 1228
 37 2094  #UTIL: 979
 37 1353  #UTIL: 244
 37 1353 2095  #UTIL: 3203
 37 2095  #UTIL: 3159
 37 2085  #UTIL: 1586
 37 2085 2091  #UTIL: 2534
 37 2091  #UTIL: 1548
 37 1704  #UTIL: 807
 37 1359  #UTIL: 886
 37 619  #UTIL: 1420
 37 1661  #UTIL: 1406
 37 2072  #UTIL: 1541
 535  #UTIL: 774
 535 7  #UTIL: 698
 1223  #UTIL: 676
 1223 3  #UTIL: 683
 3  #UTIL: 569
 3 430  #UTIL: 272
 3 430 902  #UTIL: 294
 3 430 902 1070  #UTIL: 800
 3 430 902 1070 1430  #UTIL: 962
 3 430 902 1430  #UTIL: 456
 3 430 1070  #UTIL: 778
 3 430 1070 1430  #UTIL: 940
 3 430 1430  #UTIL: 434
 3 902 1070  #UTIL: 535
 3 902 1070 1430  #UTIL: 697
 3 902 1430  #UTIL: 191
 3 1070  #UTIL: 513
 3 1070 1430  #UTIL: 675
 3 1430  #UTIL: 169
 3 58  #UTIL: 236
 3 2105  #UTIL: 2973
 3 118  #UTIL: 174
 3 1601  #UTIL: 187
 3 1601 1500  #UTIL: 250
 3 1500  #UTIL: 77
 3 1613  #UTIL: 277
 3 2513  #UTIL: 529
 3 2513 1775  #UTIL: 613
 3 2513 1775 1673  #UTIL: 629
 3 2513 1775 1673 41  #UTIL: 754
 3 2513 1775 41  #UTIL: 738
 3 2513 1673  #UTIL: 545
 3 2513 1673 41  #UTIL: 670
 3 2513 41  #UTIL: 654
 3 1775  #UTIL: 91
